Food Item (English),Food Item (Hindi),Nutrient per 100g (g),Protein,Vitamin A,Iron,Carbohydrates
Eggs (soft-boiled),नरम उबले अंडे,13.3,1,0,0,0
Soft cooked chicken,मुलायम पका चिकन,25.0,1,0,0,0
Paneer (cottage cheese),पनीर,18.3,1,0,0,0
Soft tofu,नरम टोफू,8.1,1,0,0,0
Mashed chickpeas,मसला हुआ चना,8.9,1,0,0,0
Curd (yogurt),दही,3.1,1,0,0,0
Milk (cow's),गाय का दूध,3.2,1,0,0,0
Soft cooked dal (lentils),मुलायम पकी दाल,9.0,1,0,0,0
Khichdi (rice and lentils),खिचड़ी,5.5,1,0,0,0
Chhena (soft cheese),छेना,12.5,1,0,0,0
Soft cooked fish,मुलायम पकी मछली,18.3,1,0,0,0
Moong dal (soft cooked),मुलायम पकी मूंग दाल,7.0,1,0,0,0
Soft cooked masoor dal,मुलायम पकी मसूर दाल,7.6,1,0,0,0
Buttermilk,छाछ,3.3,1,0,0,0
Toor dal (soft cooked),मुलायम पकी अरहर दाल,9.0,1,0,0,0
Chana dal (soft cooked),मुलायम पकी चना दाल,8.2,1,0,0,0
Sattu (gram flour drink),सत्तू,20.0,1,0,0,0
Soft cooked moth beans,मुलायम पकी मोठ,9.7,1,0,0,0
Kadhi (with pakora),कढ़ी (पकौड़े के साथ),3.5,1,0,0,0
Buffalo milk,भैंस का दूध,4.3,1,0,0,0
Carrots (cooked),पकी हुई गाजर,0.000835,0,1,0,0
Sweet Potatoes (mashed),मैश किया हुआ शकरकंद,0.000709,0,1,0,0
Spinach (soft cooked),पका हुआ पालक,0.000469,0,1,0,0
Pumpkin (mashed),मैश किया हुआ कद्दू,0.000426,0,1,0,0
Mango (ripe),पका हुआ आम,0.000054,0,1,0,0
Tomato puree,टमाटर का प्यूरी,0.000042,0,1,0,0
Egg yolk,अंडे की जर्दी,0.000149,0,1,0,0
Papaya (ripe),पका हुआ पपीता,0.000135,0,1,0,0
Banana (mashed),मैश किया केला,0.000003,0,1,0,0
Drumstick pulp,सहजन का गूदा,0.000756,0,1,0,0
Soft cooked beetroot,मुलायम पका चुकंदर,0.000023,0,1,0,0
Apple (grated),कद्दूकस किया सेब,0.000003,0,1,0,0
Soft cooked bottle gourd,मुलायम पकी लौकी,0.000002,0,1,0,0
Soft cooked fenugreek leaves,मुलायम पकी मेथी,0.000234,0,1,0,0
Soft cooked amaranth leaves,मुलायम पकी चौलाई,0.000566,0,1,0,0
Soft cooked pumpkin leaves,मुलायम पकी कद्दू की पत्तियां,0.000387,0,1,0,0
Soft cooked mustard leaves,मुलायम पका सरसों का साग,0.000412,0,1,0,0
Soft cooked bathua leaves,मुलायम पका बथुआ,0.000356,0,1,0,0
Soft cooked tinda,मुलायम पका टिंडा,0.000053,0,1,0,0
Guava (soft),नरम अमरूद,0.000031,0,1,0,0
Beetroot (cooked),पका हुआ चुकंदर,0.0008,0,0,1,0
Soft cooked kidney beans,मुलायम पकी राजमा,0.0029,0,0,1,0
Jaggery,गुड़,0.0011,0,0,1,0
Ragi porridge,रागी का दलिया,0.0039,0,0,1,0
Whole wheat porridge,गेहूं का दलिया,0.0039,0,0,1,0
Soft cooked green peas,नरम पकी हरी मटर,0.0015,0,0,1,0
Moong dal khichdi,मूंग दाल खिचड़ी,0.0015,0,0,1,0
Dates (soft),नरम खजूर,0.001,0,0,1,0
Banana stem (cooked),पका हुआ केले का तना,0.0006,0,0,1,0
Horse gram (cooked),पका हुआ कुलथी,0.0067,0,0,1,0
Black gram (cooked),पका हुआ उड़द,0.0031,0,0,1,0
Bajra porridge,बाजरे का दलिया,0.0042,0,0,1,0
Jowar porridge,ज्वार का दलिया,0.0036,0,0,1,0
Besan kadhi,बेसन कढ़ी,0.0023,0,0,1,0
Soft cooked beet leaves,मुलायम पकी चुकंदर की पत्तियां,0.0036,0,0,1,0
Soft cooked colocasia,मुलायम पका अरबी,0.0012,0,0,1,0
Gooseberry (amla) juice,आंवला रस,0.0015,0,0,1,0
Soft cooked lotus stem,मुलायम पका कमल काकड़ी,0.0014,0,0,1,0
Chicken liver (soft cooked),चिकन लिवर,0.0090,0,0,1,0
Soft cooked lentil soup,मुलायम पकी दाल का सूप,0.0021,0,0,1,0
Rice (soft cooked),मुलायम पके चावल,28.0,0,0,0,1
Soft roti/chapati,नरम रोटी/चपाती,49.0,0,0,0,1
Wheat roti,गेहूं की रोटी,47.0,0,0,0,1
Wheat chapati,गेहूं की चपाती,48.0,0,0,0,1
Soft rumali roti,नरम रुमाली रोटी,43.0,0,0,0,1
Whole wheat paratha,साबुत गेहूं का पराठा,52.0,0,0,0,1
